ID,rep1,rep2,rep3,rep4
Lrrtm3,0.85422962,0.85412127,0.494493493,0.336348513
Tial1,24.61456443,18.9124964,25.09316003,20.25278582
Senp3,60.77597921,45.21070485,60.75671363,45.8793047
FAM193B,3199.850315,3385.255021,8871.65959,6133.973838
PPM1B,3612.357954,1791.211079,13590.63818,11543.50154
DEDD,1092.300878,2717.019232,8387.189635,10082.35748
CSDE1,24.83353941,20.13906357,23.39049868,15.56798759
KMT2E,3.706281451,4.156240479,4.220311823,2.63001698
TBR1,1.449740656,1.225246706,1.343157323,0.772943143
LRP1,1.134334655,1.024955465,0.340024043,0.275314808
EIF4G3,2773.248792,3618.200956,6839.754483,4722.395333
CNTN6,0.601555565,0.493365057,0.832356985,0.61893891
PBX1,0.029487993,0.027335139,0.024695263,0.016223515
CACNG2,0.155942865,0.138340752,0.21357848,0.136114538
CHD2,0.509657167,0.577381226,0.74511965,0.583065558
MBNL1,3145.05296,4177.3264,2095.062443,3362.995923
INTS6,2.03683115,1.97593361,1.154192183,0.692643618
DLG3,1.459787233,1.25934467,1.711518755,1.136196165
FGF9,0.468446645,0.341937651,0.35432086,0.330734078
SRGAP2,4.645624622,4.17917744,5.548442908,4.353913058
SERTAD2,3.536139363,3.154219194,5.297689143,3.374476458
NLK,0.413906893,0.321719738,0.322652655,0.27995924
TCF7L2,0.478712364,0.42354374,0.533423923,0.382421305
CNOT3,44.45459906,37.34908259,63.29084015,43.4522518
CTDSP2,40.63949648,34.22657867,33.55511385,29.04052858
RFX7,8.337591552,6.290516179,8.137344955,7.773397948
ELAVL4,2.714093782,2.433959229,3.183637033,2.638212645
BRD2,1057.268052,1033.528179,761.9353165,511.5874093
DLX1,35.21155166,32.7347105,47.63480403,27.6029149
PABC1,9.236573893,8.493515644,10.54290019,8.762355283
Vmn1r71,30.05933128,24.75494338,42.12648488,26.55570253
IGF1,0.258494477,0.239074747,0.43539565,0.354737058
SREK1,10670.07196,2216.040647,2378.506972,1514.66921
DDX6,0.259613672,0.220102737,0.307550918,0.31410327
AMD1,0.297126253,0.258964826,0.377283673,0.319061295
ELK3,6.21602254,6.324599458,7.238574638,4.89205749
BCL2,1.243796589,0.723097669,4.972961648,3.22220891
ELK3,26.43164172,23.26605217,33.56153215,30.52930743
PDGFB,3.813492929,4.157851683,5.076630458,3.730622245
KDM2A,7.184607392,8.309781258,14.32023389,10.09826551
HOXC9,8.247602891,8.072912779,6.38079003,6.899853535
ANKS1B,0.460202137,0.373401349,0.5663148,0.373631268
EBF3,19.88126045,14.07181179,17.77132922,13.74322001
MLLT3,4.371320057,4.064107954,4.749102103,3.20091982
NFATC2,3.659174328,3.950550373,7.012953713,6.78808995
ZFX,16.90472846,16.73972552,13.26342234,11.18902175
SMAD6,3.350476812,3.45534426,2.987565915,2.850450753
BCL11A,1.471120651,1.842335757,1.762728343,1.442539135
AMD1,0.206012819,0.222893143,0.32007486,0.257497703
AHDC1,0.480137577,0.391481783,0.527621518,0.39628609
TMTC2,17.7290317,16.76777693,11.10401413,9.214333383
RFX4,2.67392897,4.771637035,1.00937751,0.754509595
GPR22,0.088900174,0.081924687,0.109627805,0.073943493
PTP4A1,2939.937845,1908.117671,732.2507468,2277.17058
EPHB1,4.217164215,5.293159928,6.5435278,4.425258543
PTEN,15.43193149,21.49018027,18.00170914,12.82141092
JPH4,3762.534625,1926.086048,843.8677505,3469.387755
HOXA7,131.8538044,111.2085427,130.6038499,90.89700705
ZFX,6.615170188,5.929841494,5.932741603,5.403917343
JARID2,2.759698333,2.651193327,2.798372163,2.20304263
CHTOP,4.962541938,4.016528082,4.479363015,2.742123025
SLITRK1,2.093731725,2.703415531,1.96956993,1.463133993
ELAVL2,1.542736545,2.415337288,0.959165058,0.688628525
NR2F2,0.540078821,0.542495237,0.75189026,0.647741955
MEIS1,1.206146148,1.105329362,1.499094073,1.099505095
RBM6,6.144697753,4.986426029,5.149395225,3.22563369
GPBP1,23.13924455,22.629307,19.56440079,13.64894515
PCDH17,4.216410684,4.663486044,4.55190175,4.17382341
MAML3,0.869355923,0.852629583,1.187244178,0.899762535
PRF,0.117106022,0.103315834,0.100308351,0.084239679
EMCV,3.803762052,3.451540649,3.470976025,3.501645218
CRPV,0.056484382,0.050565568,0.059415765,0.04941165
CHTOP,4.69537272,4.441065229,5.012293275,3.08869818
BMP5,0.317048282,0.255435175,0.32078634,0.390619183
PRRX1,4.007936265,2.864174641,2.55687487,2.460552398
TCF4,0.578026606,0.897390702,0.46302334,0.27232914
HOXA9,358.9286305,301.8215517,237.3460052,177.5164981
MAPK6,1.790194993,2.277602574,0.936638835,0.594942768
HOXD3,2.356938605,2.779619273,2.63553375,2.063334053
HOXA10,0.449471115,0.602905629,0.53622526,0.316636053
HOXB3,4.337417172,4.104228126,2.942562933,2.457472915
HOXB8 ,7.674793966,7.601798641,4.810551805,3.9826983
ESCO1,2256.634728,1883.125666,802.830519,5526.317498
TTBK2,2564.013584,1992.390253,366.0121575,920.1123253
CTCF,5829.226202,2729.719056,410.3263133,2155.059831
FXR2,4694.433783,4792.725879,666.7912033,3620.28097
GDF5,2910.571144,3309.205831,321.9757395,5068.708738
NCDN,3085.048486,3136.168589,464.9861525,3944.169513
PTP4A2,4172.100807,3514.024421,799.8806978,4843.581855
EXT1,0.810340022,1.483777861,1.499997368,1.132473228
SPEN,1606.965855,1240.782666,3.135036178,6.440966805
MLL5,3.189612736,4.10494251,5.99577711,4.642947338
C3HC4,7374.17138,4533.034186,1231.66558,7349.440228
DCN,7694.128041,2303.266173,802.4159975,7826.529
HAS2,6515.193712,3864.1571,1298.703782,4877.516393
BARHL1,4015.493974,6710.121254,3416.411713,9553.792088
TRPS1,3854.996509,10019.76155,7015.533318,23696.68987
PAFAH1B1,4045.27361,6765.336124,5576.153303,16792.6255
MEIS2,10.44,9.14,9.95,10.99
