ID,ESC1,ESC2,EB1,EB2,EB3,EB4,NSC1,NSC2,NEURON1,NEURON2,LIMB1,LIMB2,LIMB3,LIMB4
Pcdh9,0.115961075,0.13012543,0.107034309,0.216620782,0.055754406,0.052843262,0.594735845,0.984615669,0.073101929,0.147565617,1.377446244,1.096740471,0.959832753,1.182712462
B3galt2,0.11106229,0.152316924,0.111733417,0.067091792,0.037629102,0.0564189,0.583331187,0.703227721,0.159751271,0.365262904,1.329254319,1.355528646,1.385053639,1.128665337
NFIB,0.601641424,0.335124435,0.167728631,0.120904617,0.11763322,0.120793335,1.346066747,0.677792752,0.988571559,0.907802072,1.328532313,1.208209156,1.47938447,1.862383271
Zfhx4,0.061219611,0.084575452,0.095265011,0.057592567,0.105363551,0.039283477,0.368267157,0.56507164,0.065864408,0.109401529,0.323763829,0.39600857,0.57314644,0.583076521
Trim66,0.262649462,0.257152959,0.109523327,0.144887335,0.145547971,0.184524509,1.481141687,1.348578743,0.180519731,0.449143595,0.813509765,0.697514421,0.946431747,1.206086195
Zbtb38,0.115852434,0.118619099,0.071167288,0.049392624,0.052241822,0.047540742,0.463407221,0.632766861,0.145843033,0.09190773,0.44188584,0.436570509,0.372774425,0.521364831
Tulp4,0.125249182,0.133692357,0.075244676,0.103280713,0.144424775,0.058154404,0.760871298,0.813665754,0.088172551,0.140208471,0.400745195,0.532057737,0.408675572,0.463131021
Sgcz,0.239253388,0.215167972,0.803734545,1.126985311,1.021505261,0.673911555,0.760380825,2.353620402,0.171296666,0.44006251,0.825855105,1.146180296,0.970848748,1.302323047
Grin2b,0.137071711,0.129042058,0.071155455,0.057849513,0.043053035,0.042523822,0.707542239,0.758331181,0.060507306,0.094693287,0.452875678,0.62684027,0.384925792,0.57152073
Bhlhe22,1.673571653,2.18410774,0.433131585,0.605864368,0.414512022,0.57233925,1.265558876,3.645798334,1.375640856,1.272729568,1.519994959,3.39349258,3.03570848,3.231833724
RNF10,0.144068692,0.104303489,0.065091142,0.068603308,0.104786593,0.061753251,1.060424887,0.790416939,0.105307882,0.139513124,0.350860407,0.462394032,0.522546651,0.467194233
Ube3a,1.252879297,1.203125928,0.213090604,0.281522784,0.137716997,0.176222309,0.878948643,1.390805853,0.212044458,0.248501286,1.139057672,1.052926154,1.136576454,1.570295636
TLE4,1.133465787,1.234810416,0.244877714,0.320085484,0.352436764,0.251650983,2.974470595,4.792101071,0.672405766,0.505916603,2.538858893,2.428600982,2.220201731,2.172364641
Fam214b,0.530545281,0.362114924,0.224481956,0.076408602,0.162210192,0.187287593,1.52285256,1.083332465,0.293570528,0.253945636,3.230643646,4.282278222,2.678436819,3.8373686
Asxl3,0.145237026,0.157607539,0.085570432,0.102852448,0.115062122,0.060310776,0.660079129,0.548669708,0.069777193,0.096439388,0.397698456,0.626388586,0.445286845,0.554402548
Hr,0.768751103,1.026038633,0.273060583,0.212148035,0.329600797,0.212284021,0.879640251,0.844263572,0.283225101,0.424931304,1.078630632,1.524198684,1.168965721,1.299061338
Fgf14,0.098247873,0.129275232,0.049617348,0.059438127,0.066600774,0.064966513,1.087467858,0.717311416,0.065298069,0.072912583,0.426752089,0.539898977,0.567546557,0.663192502
Rbms3,0.308242619,0.347951065,0.121040669,0.120081117,0.059433443,0.08980475,0.50349508,1.330505674,16.60862289,15.61014615,2.839327793,2.386415326,2.23531146,2.817229452
S1A9,4.003957978,3.57136683,1.290553175,0.88820455,0.83823151,0.83352114,3.366066781,2.414225867,1.481212673,2.662413852,9.016011115,10.24209111,10.72159222,8.527105017
