GPM6A,MGI:107671,0.922601823
NKX2-1,MGI:108067,0.915659133
GM8300,MGI:3643794,0.914856972
IGF2,MGI:96434,0.901793388
RARG,MGI:97858,0.886290371
MECOM,MGI:95457,0.884454694
GRHL2,MGI:2182543,0.8560212
SYNPR,MGI:1919253,0.815141718
CNTN4,MGI:1095737,0.814562478
SLC22A17,MGI:1926225,0.805575979
FOXP2,MGI:2148705,0.784095756
PCDH10,MGI:1338042,0.771388059
MGAT4C,MGI:1914819,0.755155214
R3HDM1,MGI:2448514,0.738565437
PCDH9,MGI:1306801,0.726614217
LRP1,MGI:96828,0.693657243
TMEM8B,MGI:2441680,0.686046689
AHDC1,MGI:2444218,0.638969173
CNTN6,MGI:1858223,0.636554129
LRRTM3,MGI:2389177,0.634798224
NR2F2,MGI:1352452,0.620551568
SYNPR,MGI:1919253,0.620271656
CHD2,MGI:2448567,0.6038059
FGF14,MGI:109189,0.596900779
PLEKHA7,MGI:2445094,0.582050388
NFE2L1,MGI:99421,0.568790978
TCF4,MGI:98506,0.552692447
FLRT3,MGI:1918686,0.552076285
EHBP1,MGI:2667252,0.518156214
LRRC4C,MGI:2442636,0.517761187
IL1RAPL1,MGI:2687319,0.510383638
DLG1,MGI:107231,0.507715627
HOXA10,MGI:96171,0.476309514
SMARCA2,MGI:99603,0.464170753
TCF7L2,MGI:1202879,0.454525333
SRSF11,MGI:1916457,0.452333161
AHDC1,MGI:2444218,0.448881742
ANKS1B,MGI:1924781,0.443387389
TSGA10,MGI:2685063,0.437896849
AMD1,MGI:88004,0.413021154
FGF9,MGI:104723,0.373859809
TULP4,MGI:1916092,0.369527165
GABRG2,MGI:95623,0.352478473
ASXL3,MGI:2685175,0.348730555
NLK,MGI:1201387,0.334559632
IGF1,MGI:96432,0.321925483
BMP5,MGI:88181,0.320972245
AMD1,MGI:88004,0.313109012
ZFHX4,MGI:2137668,0.301927491
ARHGEF9,MGI:2442233,0.298850441
MAP2K6,MGI:1346870,0.294572847
AMD2,MGI:1333111,0.29420947
B3GALT2,MGI:1349461,0.289698089
DDX6,MGI:104976,0.275342649
AMD1,MGI:88004,0.251619631
ZFP532,MGI:3036282,0.236441525
LPAR4,MGI:1925384,0.227301317
N4BP2,MGI:2684414,0.207670437
SOX6,MGI:98368,0.189047246
HIVEP3,MGI:106589,0.178078408
CACNG2,MGI:1316660,0.160994159
ADAMTS6,MGI:1347348,0.143346154
MBD5,MGI:2138934,0.14157544
PRF,N/A,0.101242472
GPR22,MGI:1920260,0.08859904
PBX1,MGI:97495,0.024435478
