"","ID","ESC.Mean","NSC.Mean","NEU.Mean","ML.Mean","EB.Mean"
"66","EXT1",NA,NA,0.469256924967869,0.156989133142221,NA
"67","FAM193B",NA,NA,0.190316817768018,0.26173826679416,NA
"68","FAM19A1",0.361293691318503,0.280022207790682,0.279319912128517,0.0313266923017554,0.10158652192432
"69","FAM214B",0.0999710208577881,0.130045768237741,0.0752156654868141,0.0891521130428882,0.205659777863439
"70","FEZF2",0.0743112630364731,0.287471703228662,0.131285394178373,0.0597027991564659,0.138061742672262
"71","FGF10",0.069149448835358,0.291968905059442,0.381502890502759,0.0643981156120216,0.102929910177054
"72","FGF14",0.241282795653703,0.0652295267509705,0.334650604904789,0.0792926419825339,0.0579138554002828
"73","FGF7",0.27249075870542,0.372665887687587,0.272134445182387,0.0703519761490008,0.139716187172179
"74","FGF9",0.0522627430554201,0.196812034234763,0.243875309734581,0.153628093053205,0.208039090695439
"75","FIGN",0.28427941555202,0.26395776637614,0.1380200203546,0.132050987702315,0.154164917327917
"76","FILIP1",0.183105067504802,0.335032010834372,0.103352297487568,0.0947246618505931,0.137023107017652
"77","FLRT3",0.152685205849271,0.13397819291381,0.221252897552042,0.0790936657339944,0.173904525080367
"78","FOXP2",0.169224412883112,0.204845336429018,0.146192942609364,0.0554207629504384,0.199046200736681
"79","FXR2",NA,0.32349377974984,0.489085409322516,0.207577773640383,NA
"80","GABRA1",0.122289580387546,0.248320456381066,0.339677225646804,0.0920482044892631,NA
"81","GABRG2",0.110438913908209,0.300023455174502,0.146656423547164,0.0641714933781721,0.119828717336509
"82","GDF5",NA,0.440320580598926,0.327066310960636,0.411353980286298,NA
"83","GM8300",0.193398344997684,0.34200391876877,0.28961774023592,0.116734772089059,0.175083232498595
"84","GPBP1",0.166459849619774,0.0875794777176639,0.666347516875422,0.101601242417526,0.0336945085463809
"85","GPC6",0.147222987729388,0.0573165411512043,0.60296961992923,0.163521485412974,0.0951290424044774
"86","GPM6A",0.188516123987954,0.11528089934764,0.263095352668276,0.105808561431744,0.15089538908266
"87","GPR21",0.181367854414981,0.0610874969013174,0.0500688293894482,0.0665323134451726,0.118506516357459
"88","GPR22",0.0702677748902621,0.0851651133849961,0.465427302996148,0.111276281891676,0.229260103473155
"89","GPR85",0.11413811598379,0.134620746324058,0.0571915022066168,0.0881817310588518,0.116568727250354
