x,ES1,ES2,ES3,ES4,NSC1,NSC2,NSC3,NSC4,NSC5,NSC6,NSC7,NEU1,NEU2,NEU3,NEU4,NEU5,NEU6,ML1,ML2,ML3,ML4,ML5,ML6,EB1,EB2,EB3,EB4
"49 ""ELAVL4""",0.601641424,0.335124435,0.387660624,0.473742903,1.346066747,0.677792752,0.561244786,1.102457916,0.366242585,0.342513959,0.312956883,NA,NA,0.559813225,0.742108201,0.75253207,0.968830777,1.47938447,1.862383271,1.328532313,1.208209156,0.293989613,0.203753791,0.167728631,0.120904617,0.11763322,0.120793335
"50 ""ELK3""",0.061219611,0.084575452,0.126307796,0.073615234,0.368267157,0.56507164,0.10690156,0.197331837,0.126007371,0.114085718,0.090352925,0.065864408,0.109401529,0.161795113,0.324828295,0.217568861,0.125076392,0.57314644,0.583076521,0.323763829,0.39600857,0.108863804,0.052975105,0.095265011,0.057592567,0.105363551,0.039283477
"51 ""ELMSAN1""",0.262649462,0.257152959,0.697816932,0.460425966,1.481141687,1.348578743,0.606376091,0.58124348,0.26395948,0.575523344,0.309774737,0.180519731,0.449143595,0.267658395,0.610864561,0.378101484,0.193713177,0.946431747,1.206086195,0.813509765,0.697514421,0.151446114,0.094744134,0.109523327,0.144887335,0.145547971,0.184524509
"52 ""EMCV""",0.115852434,0.118619099,0.282349848,0.288638083,0.463407221,NA,0.127710843,0.139708385,0.11142436,0.21008855,0.189109545,0.145843033,0.09190773,0.185532574,0.239311734,0.476113968,0.186067863,0.372774425,0.521364831,0.44188584,0.436570509,0.094621685,0.074475686,0.071167288,0.049392624,0.052241822,0.047540742
"53 ""EMX2""",0.125249182,0.133692357,0.2960806,0.178560375,NA,NA,0.125164837,0.087373301,0.148318173,0.141650778,0.080124055,0.088172551,0.140208471,0.185303348,0.196788402,0.174246958,0.143536027,0.408675572,0.463131021,0.400745195,0.532057737,0.15551833,0.070069282,0.075244676,0.103280713,0.144424775,0.058154404
"54 ""EN1""",0.239253388,0.215167972,0.416148428,0.378562541,0.760380825,NA,0.195251615,0.22158786,0.242524047,0.284663239,0.163868066,0.171296666,0.44006251,NA,NA,0.372572407,0.728246882,0.970848748,1.302323047,0.825855105,1.146180296,0.307988655,0.146663576,NA,NA,NA,NA
"55 ""EPHB1""",0.137071711,0.129042058,0.227871357,0.218704627,0.707542239,NA,0.188135593,0.181485139,0.247104975,0.170803398,0.167189151,0.060507306,0.094693287,0.217619803,0.420998072,0.117138753,0.184980245,0.384925792,0.57152073,0.452875678,0.62684027,0.194842733,0.082329899,0.071155455,0.057849513,0.043053035,0.042523822
"56 ""FAM19A1""",1.673571653,2.18410774,2.752338239,3.072463849,1.265558876,NA,0.502006,0.576619187,0.955619984,0.978512612,0.870287068,NA,NA,0.53064194,1.337969784,0.39781475,0.611969919,3.03570848,3.231833724,1.519994959,3.39349258,0.732338882,0.544923712,0.433131585,0.605864368,0.414512022,0.57233925
"57 ""FAM214B""",0.144068692,0.104303489,0.15289453,0.20578309,1.060424887,0.790416939,1.015571127,1.454148179,0.349551391,0.387804674,0.394407973,0.105307882,0.139513124,0.194460039,0.193317439,0.413976387,0.378042421,0.522546651,0.467194233,0.350860407,0.462394032,0.091007511,0.054378145,0.065091142,0.068603308,0.104786593,0.061753251
"58 ""FEZF2""",NA,NA,0.529742906,0.541988301,NA,NA,0.374805322,0.538858504,1.106854347,0.720038717,0.417508001,0.212044458,0.248501286,0.515209858,0.601803865,0.321838402,0.474388902,1.136576454,1.570295636,1.139057672,1.052926154,0.27476994,0.227364345,0.213090604,0.281522784,0.137716997,0.176222309
"59 ""FGF10""",1.133465787,1.234810416,1.455893541,1.345546201,2.974470595,4.792101071,0.700469538,0.745630176,1.802019042,1.530232762,1.359213949,0.672405766,0.505916603,1.087432382,2.266591372,NA,NA,2.220201731,2.172364641,2.538858893,2.428600982,0.35317292,0.341190491,0.244877714,0.320085484,0.352436764,0.251650983
"60 ""FGF14""",0.530545281,0.362114924,0.563781417,0.374369988,NA,NA,1.501770923,1,0.878936211,1.161463704,0.675003328,0.293570528,0.253945636,0.353786421,0.970389288,0.368931527,0.354046711,2.678436819,3.8373686,3.230643646,4.282278222,1.19083708,0.723394093,0.224481956,0.076408602,0.162210192,0.187287593
"61 ""FGF7""",0.145237026,0.157607539,0.430526823,0.20587348,0.660079129,0.548669708,0.163754166,0.199984662,0.217178213,0.260062809,0.164967026,0.069777193,0.096439388,0.17530237,0.397451013,0.163338996,0.096413198,0.445286845,0.554402548,0.397698456,0.626388586,0.173225692,0.137459667,0.085570432,0.102852448,0.115062122,0.060310776
"62 ""FGF9""",0.768751103,1.026038633,1.142861057,1.368521528,0.879640251,NA,0.845610139,0.608494676,1.065163293,1.274464888,0.423827875,0.283225101,0.424931304,0.533878781,0.578207128,0.361720353,0.540659999,1.168965721,1.299061338,1.078630632,1.524198684,0.37021326,0.276975964,0.273060583,0.212148035,0.329600797,0.212284021
"63 ""FIGN""",0.098247873,0.129275232,0.305010212,0.272414555,1.087467858,0.717311416,0.166656544,0.198882682,0.205935852,0.17164078,0.241603091,0.065298069,0.072912583,0.482437007,0.533310802,0.319490513,0.195042091,0.567546557,0.663192502,0.426752089,0.539898977,0.289767254,0.112826581,0.049617348,0.059438127,0.066600774,0.064966513
"64 ""FILIP1""",0.308242619,0.347951065,0.577041736,0.609345597,NA,NA,1.719114123,2.423693291,1.461751492,2.112480467,1.49293838,16.60862289,15.61014615,1.44056627,1.383615937,0.3366419,1.273122817,2.23531146,2.817229452,2.839327793,2.386415326,0.846176758,0.688828086,0.121040669,0.120081117,0.059433443,0.08980475
"65 ""FLRT3""",4.003957978,3.57136683,3.741270285,3.434331586,3.366066781,NA,7.129914089,7.380078207,2.968553181,2.957938701,2.562265974,1.481212673,2.662413852,4.831639024,5.182443556,2.290015437,3.728682671,10.72159222,8.527105017,9.016011115,10.24209111,4.096561062,2.949599095,1.290553175,0.88820455,0.83823151,0.83352114
"66 ""FOXP2""",0.379881285,0.354768862,0.549207164,0.463924051,1.350328816,1.142261813,1.009514205,0.916360115,0.910429863,0.605227508,0.29151147,0.389811906,0.500192009,1.065870628,1.359620371,0.540944953,0.621598673,1.65447171,1.872483967,1.387749239,2.166619707,0.322010732,0.288242253,0.262351257,0.157852358,0.161781129,0.11799823
"67 ""GABRA1""",18.9004952,14.05440475,6.485339378,7.621957543,NA,NA,11.4796707,8.061607577,7.23264417,9.813846549,6.253290288,1.736654147,2.262136008,3.502073386,6.071727361,NA,NA,5.813606014,5.131635811,NA,1.515162649,2.555380677,1.285468541,4.731133247,3.852410738,3.581068785,5.526991055
"68 ""GABRG2""",0.297543587,0.260309208,0.339072533,0.372939789,NA,2.476136146,4.119103073,2.283374478,2.142155201,2.557938177,1.591818121,0.352867998,0.508946416,0.706737107,0.685312171,0.434401881,0.534645721,2.228690518,2.85397034,2.439798381,2.634540171,0.425309274,0.281525947,0.168480007,0.149482148,0.21066147,0.19669164
"69 ""GM8300""",0.241760219,0.246127748,0.658676205,0.428934286,1.055117242,1.024564568,0.827518357,0.863202046,0.418983496,0.812595688,0.498363331,0.135723277,0.214412544,0.76477409,1.209969362,0.762855725,1.883010468,0.582937417,0.933602396,0.767219614,0.92435651,0.248895135,0.122293604,0.257904973,0.162251318,0.182389103,0.134738375
"70 ""GPBP1""",1.422739526,1.816936504,1.333350389,1.518731538,1.542761446,NA,2.483861116,1.860558199,2.311546553,2.919680007,1.647943358,0.753114423,0.672331517,1.185105207,1.942408322,0.771522749,0.943744585,3.998500244,6.349412744,6.1122747,6.598805491,1.449862687,1.010597375,0.300297398,0.419611711,0.273624222,0.142959155
"71 ""GPC6""",0.291076284,0.374248071,0.37198667,0.391153212,NA,0.684207756,0.537279308,0.291963311,0.540654927,0.285874228,0.311857052,0.193979721,0.255530547,0.373499087,0.439895495,0.100127542,0.209131762,0.780032468,0.869046651,0.921727355,0.79938391,0.340259247,0.180450584,0.140566802,0.124394846,0.07589908,0.083475399
