genes,firefly rep1,renilla rep1,firefly rep2,renilla rep2,firefly rep3,renilla rep3,firefly rep4,renilla rep4,firefly rep5,renilla rep5,firefly rep6,renilla rep6,firefly_avg,renilla_avg
PABC1,0.129599757,0.252425705,0.08774931,0.219354069,0.479755142,0.231414176,1.221663431,1.08811907,1.313182208,0.584937882,0.729847964,0.56354323,0.660299635,0.489965689
Vmn1r71,6.318227273,0.510637211,0.082705523,1.466666667,1.039339876,0.230916574,2.413515158,1.070176731,0.937277993,0.990212391,1.66148736,1.226409955,2.075425531,0.915836588
IGF1,0.579997,0.429717247,0.762260192,0.49265936,0.278391206,0.258435958,4.260082175,0.894324533,0.629621171,0.510603019,0.782002033,0.930065553,1.215392296,0.585967612
SREK1,0.358769215,3.404269353,0.989873359,0.464285714,0.288715208,0.342103139,0.793892571,0.330186508,0.646990119,1.062499805,0.443525224,0.277548438,0.586960949,0.980148826
DDX6,0.399214761,0.233098694,0.893779404,0.446811191,0.222102155,0.189611119,2.56906128,1.117394466,1.069887705,0.81203656,1.111623362,1.289981136,1.044278111,0.681488861
AMD1,0.161556587,0.099857512,0.507089809,0.270142765,0.383140149,0.184321549,0.904436447,0.580375035,0.963375956,0.361568486,0.978531215,0.481593003,0.649688361,0.329643058
ELK3,0.675285461,0.586421139,0.989849406,0.820292086,0.760097242,0.36303724,0.732228901,0.618812237,0.605420036,0.354200639,1.00901535,0.310066864,0.795316066,0.508805034
BCL2,0.610632652,0.734576358,0.660714286,0.606135514,0.300055835,0.192837702,0.840146868,0.770527998,0.720604618,0.476838595,0.920173906,1.171721044,0.675388028,0.658772869
ELK3,0.795831148,0.917151092,0.623485968,0.440369742,0.472839302,0.326496788,1.655560282,1.164704897,0.741715929,0.486426991,0.591961889,0.337671988,0.813565753,0.612136916
PDGFB,0.951565214,1.039957034,0.954654177,0.923494473,0.565468895,0.42099259,1.214647732,0.600134343,0.800491943,0.540757373,0.943493272,1.279973805,0.905053539,0.800884936
KDM2A,0.93678155,1.25855406,1.061920571,0.783519035,0.643504692,0.588521978,1.312443885,1.078059741,0.923373143,0.825094547,0.845038949,0.805389015,0.953843798,0.889856396
HOXC9,0.603648226,0.696502922,1.45240618,1.610728719,0.261607837,0.183142959,0.99643666,0.437759098,0.877427539,0.371727368,0.937645088,0.533579745,0.854861922,0.638906802
ANKS1B,0.473055576,0.393966882,0.684311821,0.362739284,0.595547049,0.290066485,0.963334984,0.635303026,1.591298912,0.834573817,0.656475452,0.464274011,0.827337299,0.496820584
EBF3,0.26366758,0.238269576,0.870068648,0.865121495,0.3363028,0.215876704,0.69637977,0.596788505,1.281040495,0.92553807,0.593499259,0.529099705,0.673493092,0.561782343
MLLT3,1.142153624,1.160487307,1.046431893,0.843917639,0.745568485,0.297138615,0.566582288,0.539343044,0.710147811,0.379847833,1.050768629,0.271203184,0.876942122,0.581989604
NFATC2,1.083333333,1.375,0.508196694,0.96,0.330086191,0.271757407,2.088775328,1.402368019,3.264941516,0.260338472,3.718010887,1.093022535,1.832223992,0.893747739
ZFX,0.722123018,0.710549066,0.741264268,0.669881686,0.418231261,0.197358252,1.722244301,1.156019933,1.479598761,1.149133968,0.962444407,0.866051873,1.007651003,0.79149913
SMAD6,1.136755942,1.045908897,0.995637219,0.627700934,0.436121456,0.196182086,0.782825752,0.413896844,0.514902449,0.672622764,1.037192297,0.875491635,0.817239186,0.63863386
BCL11A,1.138695431,1.00357979,0.75632378,0.561011843,0.223057913,0.161565468,0.939450897,0.72460025,1.06915516,1.010747447,0.754731721,1.127396504,0.81356915,0.764816884
AMD1,0.441922163,0.409750966,1,1.165164316,0.258203636,0.210742428,0.728217747,0.401282452,0.902449367,0.406562503,0.477839097,0.357089746,0.634772002,0.491765402
AHDC1,0.568247362,0.283136168,0.907918981,0.677115467,0.492535146,0.255110444,1.768888021,0.642759947,0.539630018,0.459811454,0.745501233,0.393137345,0.837120127,0.451845138
TMTC2,0.279845521,0.3380643,0.992457534,0.67807743,0.383732597,0.548082569,0.76807361,0.345449679,0.932176747,1.258959194,0.52314125,0.304256852,0.64657121,0.578815004
RFX4,4.07738137,3.941915959,6.90588182,6.968288665,0.361147931,0.214101588,0.311640238,0.378905449,0.495905059,0.215290154,1.014483476,0.441502223,2.194406649,2.02666734
GPR22,1.854171137,3.055157046,5.125025,8.369720935,0.717665579,0.136686946,1.318657088,0.93942928,4.969072779,0.101138137,2.326309071,0.285669852,2.718483442,2.147967033
PTP4A1,0.381446529,0.428570554,0.558083338,1,0.402499278,0.540815608,0.846168672,0.659339234,0.660466541,0.968254069,0.57598802,0.834646971,0.570775396,0.738604406
EPHB1,0.148592149,0.256633806,0.390302709,0.264897601,0.408235744,0.153624437,0.815001136,0.436078892,1.019710858,1.121429351,0.693423397,0.447159626,0.579210999,0.446637286
PTEN,0.87531166,1.459919416,0.829134809,0.50300581,0.662253338,0.326354342,1.52500886,1.356433224,1.377706235,1.29817881,0.789098928,0.765277713,1.009752305,0.951528219
JPH4,0.313058213,3.225828304,0.63646583,0.882350346,0.287381667,0.294114148,0.659867701,0.340656696,0.704606691,1.015463758,0.584616041,0.433174351,0.530999357,1.031931267
HOXA7 LONG,0.452249194,0.624591835,0.679696514,0.794785101,0.368984885,0.177826586,1.171483828,0.421364527,0.680748993,0.288391987,0.561999851,0.351285123,0.652527211,0.44304086
ZFX,0.228532202,0.159892611,0.603706208,0.267897867,0.284398354,0.121749076,1.176937889,0.597871975,1.401321908,0.889313645,0.625067067,0.490623754,0.719993938,0.421224821
JARID2,0.567355787,0.637693968,0.729953614,0.863730888,0.432999802,0.233097273,0.529982993,0.385106525,0.361667275,0.327739113,0.539832425,0.201024741,0.526965316,0.441398751
CHTOP,0.792774457,0.885183182,0.85254361,0.690687255,0.463982337,0.320015715,1.29674188,0.93626161,0.815657478,0.724950249,0.908515871,0.462906704,0.855035939,0.670000786
SLITRK1,0.693448471,0.310978029,0.413517058,0.256029622,0.251834244,0.325274926,0.967464286,1.210645973,1.113779251,0.703331948,0.999419747,1.298392125,0.73991051,0.684108771
ELAVL2,0.530073819,0.514637708,1.064648807,0.311182515,0.102726832,0.141301252,0.128625445,0.165498952,0.80424085,0.612892378,0.604807969,0.634826724,0.539187287,0.396723255
NR2F2,0.621613496,0.533700364,0.835244198,0.340844475,0.512202844,0.22830279,1.123222732,0.625550413,1.319671731,0.737218553,0.859586616,0.473423575,0.87859027,0.489840028
MEIS1,0.441330479,0.270355117,0.49150923,0.23324281,0.413056012,0.216262127,0.664169444,0.442508715,1.258105356,0.95894029,0.713950467,0.569285287,0.663686831,0.448432391
RBM6,0.033820749,0.039218601,0.099777313,0.163544169,1.004021413,0.308804025,1.32772412,0.640711462,1.228965361,1.075914856,0.867523961,0.425524848,0.760305486,0.442286327
GPBP1,0.050347513,0.045854615,0.157916814,0.071945712,0.352206783,0.205838244,0.715597382,0.568187008,0.949856437,0.516773679,0.411176243,0.391443328,0.439516862,0.300007098
PCDH17,0.624998047,1.117647059,0.96,0.952380952,0.435959898,0.141562118,0.699100483,0.615541444,1.502221369,0.831620096,1.427503436,0.343953656,0.941630539,0.667117554
MAML3,0.937405198,0.937020887,0.81413909,0.541793937,0.230094317,1.138642973,0.843892265,4.71761465,0.218767801,0.117594516,0.718647049,0.342383477,0.62715762,1.299175073
PRF,0.588492188,0.559600408,0.623761151,0.708762163,0.387688738,0.119975653,1.223798288,0.378102534,5.131463604,0.535168745,1.432848961,1.172225181,1.564675488,0.578972447
EMCV,0.848447001,0.928703695,0.879239559,0.649747962,0.337114547,0.212764628,0.540203722,0.744588845,0.790296582,0.748839231,0.69145996,0.777040037,0.681126895,0.6769474
CRPV,0.614170755,0.36159618,0.635590376,0.424670707,0.302287564,0.146566226,1.551326278,0.403558841,0.990797715,0.757599676,1.112729269,0.858693875,0.867816993,0.492114251
CHTOP,0.786171114,0.462392464,1.73670751,0.549728284,0.45539916,0.190061137,0.957804222,0.714466309,0.925541884,0.622620175,0.585838937,0.520644379,0.907910471,0.509985458
BMP5,0.497072549,0.235055198,0.711658211,0.443901728,0.320028996,0.266161426,1.319508999,0.644166058,2.211785744,0.910403288,5.484454878,0.430941746,1.75741823,0.488438241
PRRX1,1.31203312,1.301760677,7.183009907,5.478773686,0.329373888,0.207412423,0.684540504,0.373023306,1.094651896,0.713802865,0.681920074,1.569126807,1.880921565,1.607316627
TCF4,1.616245989,2.242493209,2.251865068,1.839556986,0.694865534,0.407536462,0.866707689,0.679190865,0.87841936,0.653042627,0.881894525,0.427844235,1.198333028,1.041610731
A9,1.425225694,1.074999813,2.237262156,3.454559091,0.224977871,0.245785067,0.914820711,0.210392038,0.405683004,0.43157651,1.806182102,0.650483976,1.169025256,1.011299416
MAPK6,1.308470606,1.199442708,0.915660591,0.596265525,0.612709846,0.18922984,1.597431919,0.490589557,0.610898384,0.997108686,0.642354987,0.265525001,0.947921056,0.623026886
HOXD3,0.633857688,0.664999894,0.561403319,0.501239649,0.408455069,0.279791403,0.936662882,0.523364063,0.810650747,0.775928688,1.169192465,0.590530313,0.753370362,0.555975668
HOXA10,0.54650818,0.617033027,0.734373169,0.39965826,0.215157299,0.211157742,0.789425375,0.440939976,1.226183802,0.754460319,1.840949509,1.059111917,0.892099556,0.58039354
HOXA7_SHORT,0.368623629,0.29567651,1.053959655,0.397863617,0.248501001,0.290803944,0.310491985,0.490647949,0.596354227,0.903140159,0.738415203,0.405322324,0.552724283,0.463909084
HOXB3,0.502023121,0.393803319,0.72986411,0.469355383,0.588210122,0.416286504,0.986460174,0.485262266,0.841151196,0.830683222,0.608844914,0.599234983,0.709425606,0.532437613
